vtd,aarea_1,barea_1_2,carea_2_5,darea_5_10,earea_10_20,farea_20_50,garea_50_100,harea_100_200,iarea_200_500,jarea_500_1000,karea_1000,atotal_1,btotal_1_2,ctotal_2_5,dtotal_5_10,etotal_10_20,ftotal_20_50,gtotal_50_100,htotal_100_200,itotal_200_500,jtotal_500_1000,ktotal_1000,afood_1,bfood_1_2,cfood_2_5,dfood_5_10,efood_10_20,ffood_20_50,gfood_50_100,hfood_100_200,ifood_200_500,jfood_500_1000,kfood_1000
HRV,413139.6433,413139.6433,454834.6433,454679.6433,454412.4689,503287.7829,490612.5513,813225.6084,2212356.277,2212356.277,2610642.277,11123682.59,11123682.59,80210758.97,103749303.6,114680310,205786722.5,202361042.5,552892221.3,0,0,0,5677346.628,5677346.628,39806478.43,55015600.53,67621283.59,130340819.6,140363008.8,415189553.7,0,0,0
CYP,144438.9036,144438.9036,147110.4149,130457.525,134760.5907,146300.4149,143873.9036,154264.9036,209408.0854,209408.0854,238794.0854,1057373.817,1057373.817,2730160.334,2864789.598,3840511.97,5099077.844,2982413.609,2924046.576,0,0,0,650636.6752,650636.6752,1736780.986,1949321.534,2691465.765,3642170.378,2209925.067,2170620.873,0,0,0
CZE,18394953.96,18395598.72,13023919.63,10564059.91,8776882.774,7341592.774,7499198.348,6527563.388,6614660.048,6786779.638,8271298.718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,12508393.74,12508319.98,8319566.628,4305978.239,4287517.077,4416801.039,4460474.457,5512632.698,12508393.74,12508393.74,15360926.25,0,554.4005411,632917.0921,16622154.09,50894854.79,252385932.3,457534324.6,2651950660,0,0,0,0,543.1569928,233356.2186,8016200.713,23854542.43,127964972.4,251263953.4,1514247489,0,0,0
EST,470130.9618,470352.0018,436751.4818,427729.5414,442051.4818,453221.4818,460151.4818,792504.7203,1180587.884,1180587.884,1511000.47,104901.9298,438631.3854,1969870.598,3984944.028,7475641.394,16949791.74,20228622.65,297337271.7,0,0,0,66796.13644,279297.8348,1152640.711,2114365.589,3643619.83,7774165.765,8613980.769,123758350.9,0,0,0
ETH,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,54178361.09,66254093.09,1171447181,801622135.2,493103949.3,44432830.3,4606339.175,2303169.587,0,0,16122187.11,0,0,1067133644,727193648.7,446465331.8,40289276.85,4329965.705,2164982.852,0,0,15154879.97,0,0
FIN,5439217.014,4586064.515,1509062.575,1399105.656,1443562.575,1696173.987,2653649.236,2654199.236,5439217.014,5439217.014,6916072.65,0,690.0456318,1112377.375,8944055.698,47392575.09,302992124.5,430208118.3,490165942.5,0,0,0,0,677.9591811,565150.1089,5069626.511,29052274.13,206809685.9,296010715.8,346759669.1,0,0,0
FRA,339915296.9,209005148.2,126881317.6,135038204.7,113139426.2,102223883.5,98076099.5,101973175.9,339915296.9,339915296.9,522349280.9,0,16461522.39,83707521.85,169203503,336271293.2,2438239801,9907351296,41291474680,0,0,0,0,8229663.633,43530261.96,103454734.2,195084311.4,1545323131,6812625397,30452958072,0,0,0
DEU,189060025.3,189062946.6,131578310.6,71548706.12,83526152.93,69205687.17,79812239.15,65125201.16,64451512.9,64142166.25,100049798.2,352103.3792,817675.2892,5492491.34,174280320.8,673172531.7,2339542046,4181457939,3947745708,2618264336,2007788195,4992338216,198280.9693,460459.7924,2971712.313,89033319.45,360456956.5,1301272506,2373164950,2160418882,1432855135,1098769741,2732076112
GHA,36021490,36609307.55,39095591.57,30508376.57,26654947.48,13100785,1557839,1913482,,,,1630812572,1811402821,5078143263,3355753331,2025944493,331394406.2,425340287.5,558576835.9,,,,749276156,859142660.2,2674583586,1869511886,1079142228,199655602.9,261305923.7,222757760.2,,,
GRC,9220221.235,715544.6,878466.8,889503.6,1092328.6,1136067.8,919412.4,2060373.678,9220221.235,9220221.235,14971956.24,0,148163285.8,368370502,456056854.2,521038130.2,622446842.4,216160997.2,99365931.98,0,0,0,0,93400912.5,251798143,323194651.5,382396399.4,469048415.1,162474918.5,73992128.64,0,0,0
HUN,1612467.409,1612467.409,1654512.409,1744642.409,1862618.163,1834062.409,2166452.081,3661787.245,24881621.12,24881621.12,33363283.35,25479161.24,25479161.24,93856529.45,137404529.1,244730838,437275870.1,427160419.3,3351335675,0,0,0,15448514.53,15448514.53,58552134.31,85759004.74,154907749.6,276410973.2,273531398.4,2245925734,0,0,0
IND,7435663851,7435663851,7435663851,7435663851,7435663851,7435663851,7435663851,7435663851,7435663851,7435663851,11021245641,58174826982,41525727274,51681912052,20532590827,8025428773,3621394579,402377175.4,0,0,0,0,52392997277,37183318860,46204615805,18360786906,7202362125,3264664377,362740486.3,0,0,0,0
IRL,977528.5588,538758.5588,455677.8855,343274.8855,323741.56,379591.8208,426701.8208,460601.8208,977528.5588,977528.5588,981052.6714,0,2122.092,491424.7183,3340416.247,17269133.19,98908289.44,194879639.6,385529120.3,0,0,0,0,19.95446879,234924.3061,1689747.137,10103442.09,53735161.45,109160567.3,207940196.8,0,0,0
ITA,24541467.82,24596951.98,21092269.59,18692712.62,19659012.21,20912704.68,21845797.15,23084149.42,99378248.66,99378248.66,188215352.7,98370432.36,145120736.8,852665640.7,1168204639,1594074118,2757464048,1765718469,2172083725,0,0,0,75711511.5,111693219.9,689970485.6,956985894.1,1316712267,2314031754,1489558599,1846123083,0,0,0
LVA,1235213.346,531683.0785,536530.5482,542690.5482,559540.5482,584100.5482,589720.5482,1110860.548,1235213.346,1235213.346,1609292.48,0,6362980.762,16010263.49,26629978.65,47382151.5,73215931.71,84083008.11,802679072.1,0,0,0,0,2330717.402,5575921.734,9085698.519,15749202.31,23604217.64,26528257.48,272384442.6,0,0,0
LTU,2093782.941,764914.7312,792273.1795,808743.1795,829163.1795,892953.1795,954514.7312,985557.8798,985557.8798,1303757.38,2785930.322,0,19157886.14,88999543.32,111986591.4,143764003.3,244882460.1,342941267.6,454622591.3,454622591.3,1067374780,0,0,8311716.839,37052279.48,45894732.39,57998929.07,97247179.26,139929317,203020923,203020923,476657819.3,0
LUX,67932.38847,66793.38847,24610.58201,19914.3185,18235.3185,21919.3185,32007.63786,45587.63786,67932.38847,67932.38847,70713.02122,0,4331.88,108813.5402,185502.8256,731381.5726,6368714.083,34715694.25,69435930.87,0,0,0,0,230.0947713,50273.06066,99914.03628,423205.6617,3772407.777,22967739.04,44434882.46,0,0,0
MWI,771265.0989,745812.457,316623.7829,,,15162.511,,,,,,288688092.4,136568538.5,73946422.27,,,12890899.9,,,,,,149307972.7,75829837.7,46117244.59,,,8576780.248,,,,,
